# 사이트 과목|코드|개념|상황 질문|구분 설명
05-01|4.1.1.1|구독 수익모델|고객이 프로그램을 소유하는 대신 사용하는 기간마다 정기적으로 대금을 낸다. 이 수익모델은?|반복적인 이용료를 받는다. 일회성 판매와 수익 발생 시점이 다르다.
05-01|4.1.1.1|양면 플랫폼|서비스가 판매자와 구매자의 참여를 함께 확보하고 두 집단의 거래를 연결한다. 이 사업 구조는?|서로 다른 이용자 집단을 연결하며 한쪽 참여가 다른 쪽 가치에 영향을 준다.
05-01|4.1.1.2|가치사슬 분석|회사가 구매·생산·배송·판매·서비스 각각에서 비용과 고객가치가 어떻게 생기는지 조사한다. 이 분석은?|기업 활동을 나누어 가치 창출과 비용의 원천을 파악한다.
05-01|4.1.1.2|총소유비용|구매팀이 서버 가격 외에 설치·운영·교육·유지보수·폐기 비용까지 합산한다. 이 비용 관점은?|도입부터 처분까지 소유와 운영에 드는 비용을 포함한다.
05-01|4.1.2.1|PEST 분석|회사가 신규 서비스에 영향을 주는 정치·경제·사회·기술 환경을 조사한다. 이 분석은?|기업 외부의 거시 환경을 네 관점에서 살펴본다.
05-01|4.1.2.1|SWOT 분석|기획자가 내부의 강점·약점과 외부의 기회·위협을 구분해 전략을 검토한다. 이 분석은?|내부 역량과 외부 환경을 구별하고 전략 대안을 도출한다.
05-01|4.1.2.1|차별화 전략|회사가 최저가 경쟁 대신 설치 상담과 장애 대응 품질을 높여 고객이 더 높은 가격을 지불하도록 한다. 이 전략은?|고객이 가치 있게 여기는 차이를 제공하여 경쟁한다.
05-01|4.1.2.2|정보화전략계획|기관이 사업 목표와 현재 시스템의 차이를 분석하고 여러 해에 걸친 정보화 과제와 순서를 정한다. 이 계획은?|사업 전략을 지원하기 위한 정보화 방향과 추진 계획을 수립한다.
05-01|4.1.2.2|이행 로드맵|시스템 개선 과제를 당장 할 일·선행 과제·후속 과제로 나누고 연도별 실행 순서를 표시한다. 이 산출물은?|목표 상태에 도달하기 위한 단계와 일정 및 선후 관계를 보여준다.
05-01|4.1.3.1|파일럿 도입|전체 매장에 배포하기 전에 두 매장에서 새 주문 시스템을 실제 운영해 문제를 확인한다. 이 도입 방식은?|제한된 범위에서 실사용을 검증한 뒤 확대 여부를 판단한다.
05-01|4.1.3.1|병행 전환|새 급여 시스템을 도입하면서 일정 기간 기존 시스템도 운영해 결과를 비교한다. 이 전환 방식은?|구·신 시스템을 함께 운영하여 결과를 확인하지만 중복 운영 비용이 발생한다.
05-01|4.1.3.1|단계적 전환|재고 시스템을 한 번에 모두 바꾸지 않고 입고·출고·정산 기능 순서로 전환한다. 이 방식은?|기능이나 조직 등 일부 단위부터 순차적으로 전환한다.
05-01|4.1.3.2|현행 프로세스 분석|자동화할 기능을 고르기 전에 직원의 접수·확인·승인 작업과 대기 시간을 그대로 기록한다. 이 활동은?|현재 업무 흐름과 문제의 발생 지점을 파악한다.
05-01|4.1.3.2|병목 분석|접수는 빠르지만 승인 담당자 앞에서 신청이 쌓여 전체 처리가 늦어진다. 개선할 제한 구간을 찾는 분석은?|전체 처리량을 제한하는 단계와 대기 원인을 찾는다.
05-01|4.1.3.2|근본 원인 분석|같은 오류가 반복되어 담당자 실수라는 결론에 그치지 않고 입력 규칙과 검증 절차까지 원인을 추적한다. 이 분석은?|증상 아래에서 반복 문제를 만드는 원인을 찾는다.
05-01|4.1.3.2|지속적 개선|팀이 작은 개선안을 적용하고 결과를 측정한 뒤 다음 개선에 반영하는 과정을 반복한다. 이 접근은?|계획·실행·점검·개선을 반복하여 업무를 점진적으로 발전시킨다.
05-01|4.1.3.3|결과 지표|재고 앱의 설치 수 대신 품절 때문에 취소된 주문 비율을 사업 성과로 측정한다. 이 지표의 성격은?|활동이나 산출물의 수보다 업무에서 달라진 결과를 측정한다.
05-01|4.1.3.3|균형성과표|회사가 재무뿐 아니라 고객·내부 프로세스·학습과 성장 관점의 지표를 함께 관리한다. 이 방법은?|서로 다른 네 관점으로 전략의 실행과 성과를 살펴본다.
05-01|4.1.3.3|비교 기준선|개선 효과를 판단하려고 새 시스템 도입 전 한 달의 처리 시간과 오류율을 기록했다. 이 자료의 역할은?|개선 이후 결과를 비교할 출발 상태를 제공한다.
